epoch,date,transaction
1411289609,09/21/14,0
1411376009,09/22/14,0
1411462409,09/23/14,0
1411548809,09/24/14,0
1411635209,09/25/14,0
1411721609,09/26/14,0
1411808009,09/27/14,0
1411894409,09/28/14,0
1411980809,09/29/14,0
1412067209,09/30/14,0
1412153609,10/01/14,0
1412240009,10/02/14,0
1412326409,10/03/14,0
1412412809,10/04/14,0
1412499209,10/05/14,0
1412585609,10/06/14,0
1412672009,10/07/14,0
1412758409,10/08/14,0
1412844809,10/09/14,0
1412931209,10/10/14,0
1413017609,10/11/14,0
1413104009,10/12/14,0
1413190409,10/13/14,0
1413276809,10/14/14,0
1413363209,10/15/14,0
1413449609,10/16/14,0
1413536009,10/17/14,0
1413622409,10/18/14,0
1413708809,10/19/14,0
1413795209,10/20/14,0
1413881609,10/21/14,0
1413968009,10/22/14,0
1414054409,10/23/14,0
1414140809,10/24/14,0
1414227209,10/25/14,0
1414313609,10/26/14,0
1414400009,10/27/14,0
1414486409,10/28/14,0
1414572809,10/29/14,0
1414659209,10/30/14,0
1414745609,10/31/14,0
1414832009,11/01/14,0
1414918409,11/02/14,0
1415004809,11/03/14,0
1415091209,11/04/14,0
1415177609,11/05/14,0
1415264009,11/06/14,0
1415350409,11/07/14,0
1415436809,11/08/14,0
1415523209,11/09/14,0
1415609609,11/10/14,0
1415696009,11/11/14,0
1415782409,11/12/14,0
1415868809,11/13/14,0
1415955209,11/14/14,0
1416041609,11/15/14,0
1416128009,11/16/14,0
1416214409,11/17/14,0
1416300809,11/18/14,0
1416387209,11/19/14,0
1416473609,11/20/14,0
1416560009,11/21/14,0
1416646409,11/22/14,0
1416732809,11/23/14,0
1416819209,11/24/14,0
1416905609,11/25/14,0
1416992009,11/26/14,0
1417078409,11/27/14,0
1417164809,11/28/14,0
1417251209,11/29/14,0
1417337609,11/30/14,0
1417424009,12/01/14,0
1417510409,12/02/14,0
1417596809,12/03/14,0
1417683209,12/04/14,0
1417769609,12/05/14,0
1417856009,12/06/14,0
1417942409,12/07/14,0
1418028809,12/08/14,0
1418115209,12/09/14,0
1418201609,12/10/14,0
1418288009,12/11/14,0
1418374409,12/12/14,0
1418460809,12/13/14,0
1418547209,12/14/14,0
1418633609,12/15/14,0
1418720009,12/16/14,0
1418806409,12/17/14,0
1418892809,12/18/14,0
1418979209,12/19/14,0
1419065609,12/20/14,0
1419152009,12/21/14,0
1419238409,12/22/14,0
1419324809,12/23/14,0
1419411209,12/24/14,0
1419497609,12/25/14,0
1419584009,12/26/14,0
1419670409,12/27/14,0
1419756809,12/28/14,0
1419843209,12/29/14,0
1419929609,12/30/14,0
1420016009,12/31/14,0
1420102409,01/01/15,0
1420188809,01/02/15,0
1420275209,01/03/15,0
1420361609,01/04/15,0
1420448009,01/05/15,0
1420534409,01/06/15,0
1420620809,01/07/15,0
1420707209,01/08/15,0
1420793609,01/09/15,0
1420880009,01/10/15,0
1420966409,01/11/15,0
1421052809,01/12/15,0
1421139209,01/13/15,0
1421225609,01/14/15,0
1421312009,01/15/15,0
1421398409,01/16/15,0
1421484809,01/17/15,0
1421571209,01/18/15,0
1421657609,01/19/15,0
1421744009,01/20/15,0
1421830409,01/21/15,0
1421916809,01/22/15,0
1422003209,01/23/15,0
1422089609,01/24/15,0
1422176009,01/25/15,0
1422262409,01/26/15,0
1422348809,01/27/15,0
1422435209,01/28/15,0
1422521609,01/29/15,0
